,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,authorLabel,combinedGenres,birthDate,combinedNationalityOrLanguage,topBooks,author_id,genres_list,books_list
392,392,392,402,Dorothy Dunnett,"Historical fiction, Mystery fiction",1923-08-25,,"Johnson Johnson, Lymond Chronicles, The House of Niccolò",Dorothy Dunnett,"['Historical Fiction', 'Mystery Fiction']","['Johnson Johnson', 'Lymond Chronicles', 'The House Of Niccol']"
393,393,393,403,Dorothy Edwards (children's writer),Children's books,1914-11-06,,The Witches and the Grinnygog,Dorothy Edwards (children's writer),['Childrens Books'],['The Witches And The Grinnygog']
394,394,394,404,Dorothy Richardson,Novel,1873-05-17,,Pilgrimage (novel sequence),Dorothy Richardson,['Novel'],['Pilgrimage Novel Sequence']
395,395,395,405,Douglas Preston,"Adventure (genre), Nonfiction, Techno-thriller, Thriller (genre)",1956-05-20,,"Aloysius Pendergast, The Monster of Florence: A True Story, Wyman Ford",Douglas Preston,"['Adventure Genre', 'Nonfiction', 'Technothriller', 'Thriller Genre']","['Aloysius Pendergast', 'The Monster Of Florence A True Story', 'Wyman Ford']"
396,396,396,406,Duncan Barrett,"Biography, memoir",1983-01-01,,The Sugar Girls,Duncan Barrett,"['Biography', 'Memoir']",['The Sugar Girls']
397,397,397,407,Dòmhnall Ruadh Chorùna,"Scottish Gaelic literature, War poetry",1887-07-09,Scottish Gaelic,An Eala Bhàn,Dòmhnall Ruadh Chorùna,"['Scottish Gaelic Literature', 'War Poetry']",['An Eala Bhn']
398,398,398,408,E. Cobham Brewer,Victorian era,1810-05-02,,Brewer's Dictionary of Phrase and Fable,E. Cobham Brewer,['Victorian Era'],['Brewers Dictionary Of Phrase And Fable']
399,399,399,409,E. E. Knight,"Fantasy literature, Science fiction",1965-03-07,,"Age of Fire, Vampire Earth",E. E. Knight,"['Fantasy Literature', 'Science Fiction']","['Age Of Fire', 'Vampire Earth']"
400,400,400,410,E. L. Konigsburg,"Children's literature, Picture books",1930-02-10,,"From the Mixed-Up Files of Mrs. Basil E. Frankweiler, The View from Saturday",E. L. Konigsburg,"['Childrens Literature', 'Picture Books']","['From The Mixedup Files Of Mrs Basil E Frankweiler', 'The View From Saturday']"
401,401,401,411,E. M. Hull,Romance fiction,1880-08-16,English,The Sheik (novel),E. M. Hull,['Romance Fiction'],['The Sheik Novel']
402,402,402,412,Eckhart Tolle,"Metaphysics, Self-help, Spirituality",1948-02-16,"English, German, Spanish","A New Earth, The Power of Now",Eckhart Tolle,"['Metaphysics', 'Selfhelp', 'Spirituality']","['A New Earth', 'The Power Of Now']"
403,403,403,413,Ed Krol,Technology,1951-08-21,,"Hitchhiker's Guide to the Internet, Whole Internet User's Guide and Catalog",Ed Krol,['Technology'],"['Hitchhikers Guide To The Internet', 'Whole Internet Users Guide And Catalog']"
404,404,404,414,Eden Robinson,"Speculative Fiction, Gothic Fiction",1968-01-19,,Monkey Beach,Eden Robinson,"['Speculative Fiction', 'Gothic Fiction']",['Monkey Beach']
405,405,405,415,Edgar Rice Burroughs,"Adventure fiction, Fantasy fiction, Lost world (genre), Planetary romance, Soft science fiction, Sword and planet, Western (genre)",1875-09-01,,"Barsoom, Tarzan (book series)",Edgar Rice Burroughs,"['Adventure Fiction', 'Fantasy Fiction', 'Lost World Genre', 'Planetary Romance', 'Soft Science Fiction', 'Sword And Planet', 'Western Genre']","['Barsoom', 'Tarzan Book Series']"
406,406,406,416,Edgardo Vega Yunqué,"Novel, Short story",1936-05-20,Puerto Rican people,"No Matter How Much You Promise to Cook or Pay the Rent You Blew It Cauze Bill Bailey Ain't Never Coming Home Again, The Lamentable Journey of Omaha Bigelow into the Impenetrable Loisaida Jungle",Edgardo Vega Yunqué,"['Novel', 'Short Story']","['No Matter How Much You Promise To Cook Or Pay The Rent You Blew It Cauze Bill Bailey Aint Never Coming Home Again', 'The Lamentable Journey Of Omaha Bigelow Into The Impenetrable Loisaida Jungle']"
407,407,407,417,Edith Pargeter,"Czech language, Historical fiction, Mystery fiction, Nonfiction",1913-09-28,,The Cadfael Chronicles,Edith Pargeter,"['Czech Language', 'Historical Fiction', 'Mystery Fiction', 'Nonfiction']",['The Cadfael Chronicles']
408,408,408,418,Edmund Wilson,"Fiction, review of fiction",1895-05-08,,"Axel's Castle, Patriotic Gore, To the Finland Station",Edmund Wilson,"['Fiction', 'Review Of Fiction']","['Axels Castle', 'Patriotic Gore', 'To The Finland Station']"
409,409,409,419,Edna Staebler,"Creative non-fiction, Historical non-fiction, Literary criticism, Mennonite, Non-fiction",1906-01-15,Canadians,Edna Staebler Award,Edna Staebler,"['Creative Nonfiction', 'Historical Nonfiction', 'Literary Criticism', 'Mennonite', 'Nonfiction']",['Edna Staebler Award']
410,410,410,420,Eduard Limonov,"Novel, poetry, short story, autobiography, political essay",1943-02-22,,"It's Me, Eddie",Eduard Limonov,"['Novel', 'Poetry', 'Short Story', 'Autobiography', 'Political Essay']","['Its Me', 'Eddie']"
411,411,411,421,Edward Ardizzone,Children's books,1900-10-16,,Stig of the Dump,Edward Ardizzone,['Childrens Books'],['Stig Of The Dump']
412,412,412,422,Edward Edson Lee,Young adult fiction,1884-09-02,,"Andy Blake, Jerry Todd, Poppy Ott, Trigger Berg, Tuffy Bean",Edward Edson Lee,['Young Adult Fiction'],"['Andy Blake', 'Jerry Todd', 'Poppy Ott', 'Trigger Berg', 'Tuffy Bean']"
413,413,413,423,Edward Heron-Allen,"Foraminifera, Horror (fiction), Zoology",1861-12-17,English,"Baba Tahir, Rubaiyat of Omar Khayyam",Edward Heron-Allen,"['Foraminifera', 'Horror Fiction', 'Zoology']","['Baba Tahir', 'Rubaiyat Of Omar Khayyam']"
414,414,414,424,Edward Lear,"Limericks, Literary nonsense",1812-05-12,English,The Owl and the Pussycat,Edward Lear,"['Limericks', 'Literary Nonsense']",['The Owl And The Pussycat']
415,415,415,425,Edward Stratemeyer,"Adventure, mystery, science fiction",1862-10-04,,"Bobbsey Twins, Bomba, the Jungle Boy, Book series, Dave Dashaway, Don Sturdy, Nancy Drew, Rover Boys, The Colonial Series, The Dana Girls, The Hardy Boys, Tom Swift",Edward Stratemeyer,"['Adventure', 'Mystery', 'Science Fiction']","['Bobbsey Twins', 'Bomba', 'The Jungle Boy', 'Book Series', 'Dave Dashaway', 'Don Sturdy', 'Nancy Drew', 'Rover Boys', 'The Colonial Series', 'The Dana Girls', 'The Hardy Boys', 'Tom Swift']"
416,416,416,426,Eeltsje Hiddes Halbertsma,Poetry collection,1797-10-08,West Frisians,"De Alde Friezen, Rimen en Teltsjes",Eeltsje Hiddes Halbertsma,['Poetry Collection'],"['De Alde Friezen', 'Rimen En Teltsjes']"
417,417,417,427,Ehsan Danish,Prose,1914-02-02,British India,Jahan-i-Danish,Ehsan Danish,['Prose'],['Jahanidanish']
418,418,418,428,Eiji Yoshikawa,Historical drama,1892-08-11,,Musashi (novel),Eiji Yoshikawa,['Historical Drama'],['Musashi Novel']
419,419,419,429,Eileen Welsome,Journalism,1951-03-12,United States,The Plutonium Files,Eileen Welsome,['Journalism'],['The Plutonium Files']
420,420,420,430,Ekaterina Sedia,"Fantasy, Steampunk, Urban fantasy",1970-07-09,,The Alchemy of Stone,Ekaterina Sedia,"['Fantasy', 'Steampunk', 'Urban Fantasy']",['The Alchemy Of Stone']
421,421,421,431,Elaine Cunningham,"Fantasy, Science fiction",1957-08-12,,"Forgotten Realms, The New Jedi Order",Elaine Cunningham,"['Fantasy', 'Science Fiction']","['Forgotten Realms', 'The New Jedi Order']"
422,422,422,432,Eleanor Coerr,Picture books,1922-05-29,,Sadako and the Thousand Paper Cranes,Eleanor Coerr,['Picture Books'],['Sadako And The Thousand Paper Cranes']
423,423,423,433,Eleanor Estes,Children's literature,1906-05-09,,"Ginger Pye, Pinky Pye, The Hundred Dresses",Eleanor Estes,['Childrens Literature'],"['Ginger Pye', 'Pinky Pye', 'The Hundred Dresses']"
424,424,424,434,Eleanor Farjeon,Children literature,1881-02-13,,Morning Has Broken,Eleanor Farjeon,['Children Literature'],['Morning Has Broken']
425,425,425,435,Elena Chudinova,"Novel, essay, column, poem, drama",1959-09-03,"Russian, French",The Notre Dame de Paris Mosque,Elena Chudinova,"['Novel', 'Essay', 'Column', 'Poem', 'Drama']",['The Notre Dame De Paris Mosque']
426,426,426,436,Elfriede Jelinek,"List of feminist literature, Postdramatic theatre, Social criticism",1946-10-20,,"Die Kinder der Toten, Greed (Jelinek novel), Lust (Jelinek novel), The Piano Teacher (Jelinek novel)",Elfriede Jelinek,"['List Of Feminist Literature', 'Postdramatic Theatre', 'Social Criticism']","['Die Kinder Der Toten', 'Greed Jelinek Novel', 'Lust Jelinek Novel', 'The Piano Teacher Jelinek Novel']"
427,427,427,437,Eli Schechtman,"Novels, short stories",1908-09-08,,Erev,Eli Schechtman,"['Novels', 'Short Stories']",['Erev']
428,428,428,438,Elif Shafak,Literary fiction,1971-10-25,Turkish language,"10 Minutes 38 Seconds in This Strange World, Honour (book), The Bastard of Istanbul, The Forty Rules of Love, The Gaze (novel), Three Daughters of Eve",Elif Shafak,['Literary Fiction'],"['10 Minutes 38 Seconds In This Strange World', 'Honour Book', 'The Bastard Of Istanbul', 'The Forty Rules Of Love', 'The Gaze Novel', 'Three Daughters Of Eve']"
429,429,429,446,Elisabetta Dami,Children's literature,1958-01-01,,Geronimo Stilton,Elisabetta Dami,['Childrens Literature'],['Geronimo Stilton']
430,430,430,447,Eliza Calvert Hall,Short stories,1856-02-11,,Aunt Jane of Kentucky,Eliza Calvert Hall,['Short Stories'],['Aunt Jane Of Kentucky']
431,431,431,448,Elizabeth Aston,Mystery fiction,1948-02-21,,Mr. Darcy's Daughters,Elizabeth Aston,['Mystery Fiction'],['Mr Darcys Daughters']
432,432,432,449,Elizabeth Bear,Speculative fiction,1971-09-22,,Hammered (Bear novel),Elizabeth Bear,['Speculative Fiction'],['Hammered Bear Novel']
433,433,433,450,Elizabeth Enright,Children's fiction,1907-09-17,,"Gone-Away Lake, Return to Gone-Away, Spiderweb for Two: A Melendy Maze, The Four-Story Mistake, The Saturdays (novel), Then There Were Five, Thimble Summer",Elizabeth Enright,['Childrens Fiction'],"['Goneaway Lake', 'Return To Goneaway', 'Spiderweb For Two A Melendy Maze', 'The Fourstory Mistake', 'The Saturdays Novel', 'Then There Were Five', 'Thimble Summer']"
434,434,434,451,Elizabeth George Speare,Children's literature,1908-11-21,,"The Bronze Bow, The Witch of Blackbird Pond",Elizabeth George Speare,['Childrens Literature'],"['The Bronze Bow', 'The Witch Of Blackbird Pond']"
435,435,435,452,Elizabeth Goudge,"Children's literature, Romance novel",1900-04-24,,"Green Dolphin Country, The Little White Horse",Elizabeth Goudge,"['Childrens Literature', 'Romance Novel']","['Green Dolphin Country', 'The Little White Horse']"
436,436,436,453,Elizabeth Kostova,"Gothic fiction, Historical fiction",1964-12-26,,The Historian,Elizabeth Kostova,"['Gothic Fiction', 'Historical Fiction']",['The Historian']
437,437,437,454,Elizabeth Strout,Literary fiction,1956-01-06,,"Abide with Me, Amy and Isabelle, Anything Is Possible (book), My Name Is Lucy Barton, Olive Kitteridge, Olive, Again, The Burgess Boys",Elizabeth Strout,['Literary Fiction'],"['Abide With Me', 'Amy And Isabelle', 'Anything Is Possible Book', 'My Name Is Lucy Barton', 'Olive Kitteridge', 'Olive', 'Again', 'The Burgess Boys']"
438,438,438,455,Elizabeth Wurtzel,Confessional writing,1967-07-31,,Prozac Nation,Elizabeth Wurtzel,['Confessional Writing'],['Prozac Nation']
439,439,439,456,Elizabeth Yates (writer),Children's literature,1905-12-06,English,"Amos Fortune, Free Man",Elizabeth Yates (writer),['Childrens Literature'],"['Amos Fortune', 'Free Man']"
440,440,440,457,Ellen Bass,"Nonfiction, Poetry",1947-06-16,,The Courage to Heal,Ellen Bass,"['Nonfiction', 'Poetry']",['The Courage To Heal']
441,441,441,458,Ellen Raskin,"Children's novel, Picture books",1928-03-13,,"Figgs & Phantoms, The Mysterious Disappearance of Leon (I Mean Noel), The Tattooed Potato and Other Clues, The Westing Game",Ellen Raskin,"['Childrens Novel', 'Picture Books']","['Figgs  Phantoms', 'The Mysterious Disappearance Of Leon I Mean Noel', 'The Tattooed Potato And Other Clues', 'The Westing Game']"
442,442,442,459,Ellen Wittlinger,Young Adult Literature,1948-10-21,,Hard Love (novel),Ellen Wittlinger,['Young Adult Literature'],['Hard Love Novel']
443,443,443,460,Elliott Chaze,"Mystery, crime",1915-11-15,,"Black Wings Has My Angel, Goodbye Goliath",Elliott Chaze,"['Mystery', 'Crime']","['Black Wings Has My Angel', 'Goodbye Goliath']"
444,444,444,461,Eloise Lownsbery,Children's Literature,1888-04-16,,Out of the Flame,Eloise Lownsbery,['Childrens Literature'],['Out Of The Flame']
445,445,445,462,Elsie Singmaster,"Children's literature, Young adult fiction",1879-08-29,,Swords of Steel,Elsie Singmaster,"['Childrens Literature', 'Young Adult Fiction']",['Swords Of Steel']
446,446,446,463,Emilio Salgari,"Adventure fiction, Historical novel, Science fiction, Western fiction",1862-08-21,,"Sandokan, The Black Corsair",Emilio Salgari,"['Adventure Fiction', 'Historical Novel', 'Science Fiction', 'Western Fiction']","['Sandokan', 'The Black Corsair']"
447,447,447,464,Emily Brontë,", Fiction, poetry",1818-07-30,,Wuthering Heights,Emily Brontë,"['Fiction', 'Poetry']",['Wuthering Heights']
448,448,448,465,Emily M. Danforth,"Gay literature, Young adult fiction",1980-01-17,,The Miseducation of Cameron Post,Emily M. Danforth,"['Gay Literature', 'Young Adult Fiction']",['The Miseducation Of Cameron Post']
449,449,449,466,Emma Lazarus,"poetry, prose, translations, novels, plays",1849-07-22,English,The New Colossus,Emma Lazarus,"['Poetry', 'Prose', 'Translations', 'Novels', 'Plays']",['The New Colossus']
450,450,450,467,Emma Smith (author),"Biography, Children's literature",1923-08-21,English,Maidens' Trip,Emma Smith (author),"['Biography', 'Childrens Literature']",['Maidens Trip']
451,451,451,468,Enid Blyton,Mystery (fiction),1897-08-11,,"Five Find-Outers, Malory Towers, Noddy (character), The Famous Five, The Secret Seven",Enid Blyton,['Mystery Fiction'],"['Five Findouters', 'Malory Towers', 'Noddy Character', 'The Famous Five', 'The Secret Seven']"
452,452,452,469,Eoin Colfer,"Adventure novel, Children's literature, Science fiction",1965-05-14,,Artemis Fowl series,Eoin Colfer,"['Adventure Novel', 'Childrens Literature', 'Science Fiction']",['Artemis Fowl Series']
453,453,453,470,Eric Carle,Children's picture books,1929-06-25,,"Brown Bear, Brown Bear, What Do You See?, The Grouchy Ladybug, The Very Hungry Caterpillar",Eric Carle,['Childrens Picture Books'],"['Brown Bear', 'Brown Bear', 'What Do You See', 'The Grouchy Ladybug', 'The Very Hungry Caterpillar']"
454,454,454,471,Eric Chappell,Television,1933-09-25,,"Duty Free (TV series), Fiddlers Three (TV series), Haggard (TV series), Home to Roost, Only When I Laugh (TV series), Rising Damp, Singles (TV series), The Bounder, The Squirrels (TV series)",Eric Chappell,['Television'],"['Duty Free Tv Series', 'Fiddlers Three Tv Series', 'Haggard Tv Series', 'Home To Roost', 'Only When I Laugh Tv Series', 'Rising Damp', 'Singles Tv Series', 'The Bounder', 'The Squirrels Tv Series']"
455,455,455,472,Eric Flint,"Alternate history, Fantasy",1947-02-06,,1632 (novel),Eric Flint,"['Alternate History', 'Fantasy']",['1632 Novel']
456,456,456,473,Eric Hobsbawm,"Western World, World history (field)",1917-06-09,,"Bandits (book), Echoes of the Marseillaise, The Age of Capital: 1848–1875, The Age of Empire: 1875–1914, The Age of Extremes, The Age of Revolution: Europe 1789–1848",Eric Hobsbawm,"['Western World', 'World History Field']","['Bandits Book', 'Echoes Of The Marseillaise', 'The Age Of Capital 18481875', 'The Age Of Empire 18751914', 'The Age Of Extremes', 'The Age Of Revolution Europe 17891848']"
457,457,457,474,Eric Knight,Fiction,1897-04-10,English,"Lassie Come-Home, This Above All",Eric Knight,['Fiction'],"['Lassie Comehome', 'This Above All']"
458,458,458,475,Eric L. Harry,Fiction,1958-12-02,English,"Arc Light (novel), Invasion (Harry novel)",Eric L. Harry,['Fiction'],"['Arc Light Novel', 'Invasion Harry Novel']"
459,459,459,476,Eric Ludy,Christianity,1970-12-17,,When God Writes Your Love Story,Eric Ludy,['Christianity'],['When God Writes Your Love Story']
460,460,460,477,Eric Schlosser,Non-fiction,1959-08-17,,"Command and Control: Nuclear Weapons, the Damascus Accident, and the Illusion of Safety, Fast Food Nation, Reefer Madness (2003 book)",Eric Schlosser,['Nonfiction'],"['Command And Control Nuclear Weapons', 'The Damascus Accident', 'And The Illusion Of Safety', 'Fast Food Nation', 'Reefer Madness 2003 Book']"
461,461,461,478,Eric Van Lustbader,"Fantasy, Thriller (genre)",1946-12-24,,Bourne (novel series),Eric Van Lustbader,"['Fantasy', 'Thriller Genre']",['Bourne Novel Series']
462,462,462,479,Erica Jong,Primarily fiction and poetry,1942-03-26,,Fear of Flying (novel),Erica Jong,['Primarily Fiction And Poetry'],['Fear Of Flying Novel']
463,463,463,480,Erick Berry,Children's literature,1892-01-04,,"Garram the Hunter: A Boy of the Hill Tribes, Song of the Pines, The Apprentice of Florence, Winged Girl of Knossos",Erick Berry,['Childrens Literature'],"['Garram The Hunter A Boy Of The Hill Tribes', 'Song Of The Pines', 'The Apprentice Of Florence', 'Winged Girl Of Knossos']"
464,464,464,481,Erick Wujcik,"Fantasy, science fiction",1951-01-26,,"After the Bomb (game), Amber Diceless Roleplaying Game, Ninjas and Superspies, Recon (role-playing game), Teenage Mutant Ninja Turtles & Other Strangeness",Erick Wujcik,"['Fantasy', 'Science Fiction']","['After The Bomb Game', 'Amber Diceless Roleplaying Game', 'Ninjas And Superspies', 'Recon Roleplaying Game', 'Teenage Mutant Ninja Turtles  Other Strangeness']"
465,465,465,482,Erin Bow,"Bildungsroman, Dystopian, Fantasy, Historical fiction, Science fiction, Speculative fiction, Young adult fiction",1972-04-01,Americans,Plain Kate,Erin Bow,"['Bildungsroman', 'Dystopian', 'Fantasy', 'Historical Fiction', 'Science Fiction', 'Speculative Fiction', 'Young Adult Fiction']",['Plain Kate']
466,466,466,483,Erin E. Stead,Children's picture books,1982-12-27,,A Sick Day for Amos McGee,Erin E. Stead,['Childrens Picture Books'],['A Sick Day For Amos Mcgee']
467,467,467,484,Erin Morgenstern,Fantasy,1978-07-08,,The Night Circus,Erin Morgenstern,['Fantasy'],['The Night Circus']
468,468,468,485,Erle Stanley Gardner,"Detective fiction, true crime, travel writing",1889-07-17,,"Cool and Lam, Doug Selby, Perry Mason",Erle Stanley Gardner,"['Detective Fiction', 'True Crime', 'Travel Writing']","['Cool And Lam', 'Doug Selby', 'Perry Mason']"
469,469,469,486,Ernesto Sabato,"Novel, essay",1911-06-24,Spanish,"Abaddón el exterminador, El Túnel, On Heroes and Tombs",Ernesto Sabato,"['Novel', 'Essay']","['Abaddn El Exterminador', 'El Tnel', 'On Heroes And Tombs']"
470,470,470,487,Esphyr Slobodkina,Children's literature,1908-09-22,,Caps for Sale,Esphyr Slobodkina,['Childrens Literature'],['Caps For Sale']
471,471,471,488,Esther David,Anthropology,1945-03-17,,Book of Rachel,Esther David,['Anthropology'],['Book Of Rachel']
472,472,472,489,Esther Forbes,Children's literature,1891-06-28,,Johnny Tremain,Esther Forbes,['Childrens Literature'],['Johnny Tremain']
473,473,473,490,Eugie Foster,"Fantasy, Science fiction",1971-12-30,,"Sinner, Baker, Fabulist, Priest; Red Mask, Black Mask, Gentleman, Beast, When It Ends, He Catches Her",Eugie Foster,"['Fantasy', 'Science Fiction']","['Sinner', 'Baker', 'Fabulist', 'Priest Red Mask', 'Black Mask', 'Gentleman', 'Beast', 'When It Ends', 'He Catches Her']"
474,474,474,491,Eugène Marin Labiche,Dramaturgy,1815-05-06,,The Italian Straw Hat (play),Eugène Marin Labiche,['Dramaturgy'],['The Italian Straw Hat Play']
475,475,475,492,Eva Ibbotson,"Children's literature, Historical fiction, Romance novels",1925-01-21,,"Journey to the River Sea, The Star of Kazan, Which Witch? (novel)",Eva Ibbotson,"['Childrens Literature', 'Historical Fiction', 'Romance Novels']","['Journey To The River Sea', 'The Star Of Kazan', 'Which Witch Novel']"
476,476,476,493,Evadne Price,"Children's fiction, Modernism, Romance novel, War",1888-08-28,English,Not So Quiet: Stepdaughters of War,Evadne Price,"['Childrens Fiction', 'Modernism', 'Romance Novel', 'War']",['Not So Quiet Stepdaughters Of War']
477,477,477,494,Evaline Ness,"Children's literature, Fashion, Young adult fiction",1911-04-24,,"Sam, Bangs and Moonshine, The Chronicles of Prydain",Evaline Ness,"['Childrens Literature', 'Fashion', 'Young Adult Fiction']","['Sam', 'Bangs And Moonshine', 'The Chronicles Of Prydain']"
478,478,478,495,Evan Hunter,"Crime fiction, Mystery fiction",1926-10-15,,87th Precinct,Evan Hunter,"['Crime Fiction', 'Mystery Fiction']",['87Th Precinct']
479,479,479,496,Evan Jones (writer),"Television drama, screenplays, poetry",1927-12-29,Jamaica,"Escape to Victory, Funeral in Berlin (film), King and Country, Modesty Blaise (1966 film), Wake in Fright",Evan Jones (writer),"['Television Drama', 'Screenplays', 'Poetry']","['Escape To Victory', 'Funeral In Berlin Film', 'King And Country', 'Modesty Blaise 1966 Film', 'Wake In Fright']"
480,480,480,497,Evan S. Connell,"Fiction, non-fiction",1924-08-17,,"Mrs. Bridge, Son of the Morning Star",Evan S. Connell,"['Fiction', 'Nonfiction']","['Mrs Bridge', 'Son Of The Morning Star']"
481,481,481,498,Evangeline Walton,Fantasy,1907-11-24,,"The Sword is Forged, Witch House",Evangeline Walton,['Fantasy'],"['The Sword Is Forged', 'Witch House']"
482,482,482,499,Eve Forward,Fantasy,1972-01-17,,Villains by Necessity,Eve Forward,['Fantasy'],['Villains By Necessity']
483,483,483,500,Evelyn Underhill,"Christian mysticism, Spirituality",1875-12-06,,Mysticism (book),Evelyn Underhill,"['Christian Mysticism', 'Spirituality']",['Mysticism Book']
484,484,484,501,Ezra Jack Keats,Children's literature,1916-03-11,American people,The Snowy Day,Ezra Jack Keats,['Childrens Literature'],['The Snowy Day']
485,485,485,502,F. L. Lucas,Polemic,1894-12-28,,Style (book),F. L. Lucas,['Polemic'],['Style Book']
486,486,486,503,Faiz Ahmad Faiz,"Ghazal, Nazm",1911-02-13,British India,Subh-e-Azadi,Faiz Ahmad Faiz,"['Ghazal', 'Nazm']",['Subheazadi']
487,487,487,507,Faridah Àbíké-Íyímídé,"Science fiction, Young adult fiction",1999-10-13,,Ace of Spades (novel),Faridah Àbíké-Íyímídé,"['Science Fiction', 'Young Adult Fiction']",['Ace Of Spades Novel']
488,488,488,508,Farley Mowat,"Memoir, Non-fiction, Young adult fiction",1921-05-12,English,"Lost in the Barrens, Never Cry Wolf, Owls in the Family, People of the Deer, The Curse of the Viking Grave, The Grey Seas Under",Farley Mowat,"['Memoir', 'Nonfiction', 'Young Adult Fiction']","['Lost In The Barrens', 'Never Cry Wolf', 'Owls In The Family', 'People Of The Deer', 'The Curse Of The Viking Grave', 'The Grey Seas Under']"
489,489,489,509,Fatima Besnaci-Lancou,Memories of harkis,1954-09-03,,Harkis,Fatima Besnaci-Lancou,['Memories Of Harkis'],['Harkis']
490,490,490,510,Fauna Hodel,Memoir,1951-08-01,,One Day She'll Darken: The Mysterious Beginnings of Fauna Hodel,Fauna Hodel,['Memoir'],['One Day Shell Darken The Mysterious Beginnings Of Fauna Hodel']
491,491,491,511,Faye Kellerman,Mystery fiction,1952-07-31,English,"Peter Decker, Rina Lazarus",Faye Kellerman,['Mystery Fiction'],"['Peter Decker', 'Rina Lazarus']"
492,492,492,512,Felicia Bond,Children's literature,1954-07-18,,"If You Give a Mouse a Cookie, Illustrator",Felicia Bond,['Childrens Literature'],"['If You Give A Mouse A Cookie', 'Illustrator']"
493,493,493,513,Felix Gilman,Steampunk,1974-11-11,United Kingdom,The Half-Made World,Felix Gilman,['Steampunk'],['The Halfmade World']
494,494,494,514,Ferenc Tóthárpád,Children's literature,1958-02-17,Hungarians,Budapest,Ferenc Tóthárpád,['Childrens Literature'],['Budapest']
495,495,495,515,Fernando Pessoa,"Poetry, essay, fiction",1888-06-13,Portuguese people,"Mensagem, The Book of Disquiet",Fernando Pessoa,"['Poetry', 'Essay', 'Fiction']","['Mensagem', 'The Book Of Disquiet']"
496,496,496,518,Fernando Vallejo,Novel,1942-10-24,Colombian people,Our Lady of the Assassins (novel),Fernando Vallejo,['Novel'],['Our Lady Of The Assassins Novel']
497,497,497,520,Fidel Villarroel,Non-fiction,1929-03-18,,"Beatification and canonization process in 1914, Lorenzo Ruiz, Thomasian Martyrs",Fidel Villarroel,['Nonfiction'],"['Beatification And Canonization Process In 1914', 'Lorenzo Ruiz', 'Thomasian Martyrs']"
498,498,498,521,Flann O'Brien,"Metafiction, Satire",1911-10-05,,"An Béal Bocht, At Swim-Two-Birds, The Dalkey Archive, The Third Policeman",Flann O'Brien,"['Metafiction', 'Satire']","['An Bal Bocht', 'At Swimtwobirds', 'The Dalkey Archive', 'The Third Policeman']"
499,499,499,522,Florence Engel Randall,"Children's fiction, Gothic literature",1917-10-18,,A Watcher in the Woods,Florence Engel Randall,"['Childrens Fiction', 'Gothic Literature']",['A Watcher In The Woods']
500,500,500,523,Floyd Cooper (illustrator),Children's literature,1956-01-08,,Eloise Greenfield,Floyd Cooper (illustrator),['Childrens Literature'],['Eloise Greenfield']
501,501,501,524,Fran Ross,"African-American literature, Satire",1935-06-25,,Oreo (novel),Fran Ross,"['Africanamerican Literature', 'Satire']",['Oreo Novel']
502,502,502,525,Frances Ellen Watkins Harper,"Essays, Poetry, Short story",1825-09-24,,Iola Leroy,Frances Ellen Watkins Harper,"['Essays', 'Poetry', 'Short Story']",['Iola Leroy']
503,503,503,526,Francesca Simon,Children's literature,1955-02-23,,Horrid Henry,Francesca Simon,['Childrens Literature'],['Horrid Henry']
504,504,504,527,Francine Pascal,"Teen and young-adult fiction, oriented mainly to female readers",1938-05-13,,Sweet Valley High,Francine Pascal,"['Teen And Youngadult Fiction', 'Oriented Mainly To Female Readers']",['Sweet Valley High']
505,505,505,528,Franco Laguna Correa,"Experimental literature, Flash fiction, Hybrid genre, Literary fiction, Non-fiction",1986-09-20,,Crush Me,Franco Laguna Correa,"['Experimental Literature', 'Flash Fiction', 'Hybrid Genre', 'Literary Fiction', 'Nonfiction']",['Crush Me']
506,506,506,529,Frank Conroy (author),"Essay, Memoir, Novel, Short story, Travel literature",1936-01-15,English,Stop-Time,Frank Conroy (author),"['Essay', 'Memoir', 'Novel', 'Short Story', 'Travel Literature']",['Stoptime']
507,507,507,530,Frank E. Peretti,Christian fiction,1951-01-13,Americans,"The Oath (Peretti), This Present Darkness",Frank E. Peretti,['Christian Fiction'],"['The Oath Peretti', 'This Present Darkness']"
508,508,508,531,Frank McGuinness,"Drama, Poetry",1953-07-29,,"Dolly West's Kitchen, Observe the Sons of Ulster Marching Towards the Somme, Someone Who'll Watch Over Me, The Factory Girls",Frank McGuinness,"['Drama', 'Poetry']","['Dolly Wests Kitchen', 'Observe The Sons Of Ulster Marching Towards The Somme', 'Someone Wholl Watch Over Me', 'The Factory Girls']"
509,509,509,532,Frank Peppiatt,Variety show,1927-03-19,Canada,The Sonny & Cher Comedy Hour,Frank Peppiatt,['Variety Show'],['The Sonny  Cher Comedy Hour']
510,510,510,533,Franklin Foer,non-fiction,1974-07-20,,The New Republic,Franklin Foer,['Nonfiction'],['The New Republic']
511,511,511,534,Franz Baermann Steiner,Anthropology,1909-10-12,Czechoslovakia,Taboo (book),Franz Baermann Steiner,['Anthropology'],['Taboo Book']
512,512,512,535,Fred D'Aguiar,"Fiction, Poetry, Stage plays",1960-02-02,,The Longest Memory,Fred D'Aguiar,"['Fiction', 'Poetry', 'Stage Plays']",['The Longest Memory']
