authorLabel,combinedGenres,birthDate,combinedNationalityOrLanguage,topBooks
Chris Kuzneski,"Adventure (genre), Adventure novel, Mystery (fiction), Techno-thriller, Thriller (genre)",1969-09-02,,"Sign of the Cross (novel), Sword of God (novel), The Hunters (book series), The Lost Throne, The Plantation"
Chris Soentpiet,Children's literature,1970-01-03,,Coolies
Chris Van Allsburg,Children's literature,1949-06-18,,"Jumanji (picture book), The Garden of Abdul Gasazi, The Mysteries of Harris Burdick, The Polar Express, Zathura"
Chris d'Lacey,Children's fiction,1954-12-15,British people,"Dark Fire (The Last Dragon Chronicles), Fire Star (novel), Fire World, Icefire (2003 novel), The Fire Eternal, The Fire Within (novel)"
Chris van Abkoude,Children's literature,1880-11-06,,Pietje Bell (novel series)
Christian Reid,"novels, short stories",1846-07-05,English,Land of the Sky
Christianna Brand,"Children's literature, Mystery",1907-12-17,English,Nurse Matilda
Christopher Isherwood,Modernism,1904-08-26,,"A Single Man (novel), Christopher and His Kind, Goodbye to Berlin, Mr Norris Changes Trains, The Berlin Stories"
Christopher Paolini,"Fantasy, Science fiction",1983-11-17,,"Eragon, The Inheritance Cycle, To Sleep in a Sea of Stars"
Christopher Paul Curtis,Historical fiction,1953-05-10,,"Bud, Not Buddy, Elijah of Buxton, The Mighty Miss Malone, The Watsons Go to Birmingham – 1963"
Christopher Priest (novelist),"Fantasy, Horror fiction, Slipstream genre",1943-07-14,,"Inverted World, The Affirmation, The Glamour (novel), The Prestige, The Separation (Priest novel)"
Christopher Wright (author),"Teen Horror, Thrillers",1964-11-24,,"American Chillers, Michigan Chillers"
Chuck Palahniuk,Horror fiction,1962-02-21,,"Choke (novel), Fight Club (novel), Invisible Monsters, Rant (novel)"
Cielo Latini,Autobiography,1984-06-14,Spanish,Abzurdah (book)
Claire Hartfield,"Non-fiction, Picture books",1957-07-03,English,A Few Red Drops: The Chicago Race Riot of 1919
Clara Reeve,Fiction,1729-01-23,,The Old English Baron
Clemens Brentano,Poetry,1778-09-09,,Des Knaben Wunderhorn
Cleolinda Jones,Parody,1978-12-14,,Movies in Fifteen Minutes
Clifford D. Simak,Science fiction,1904-08-03,,"City (novel), The Visitors (novel), Way Station (novel)"
Clive King,"Children's literature, historical fiction",1924-04-28,,Stig of the Dump
Colin Bateman,"Crime (genre), Dark comedy, Thriller (genre)",1962-06-13,English,Dan Starkey (series)
Colin Dexter,Crime fiction,1930-09-29,,Inspector Morse
Colin MacInnes,Prose,1914-08-20,,"Absolute Beginners (novel), City of Spades"
Colin Wilson,"Existentialism, Paranormal, Positive psychology",1931-06-26,,"The Occult: A History, The Outsider (Colin Wilson)"
Colleen Hoover,"New adult fiction, Young adult fiction",1979-12-11,,It Ends with Us
Colleen McCullough,", Fiction, drama, fantasy",1937-06-01,,"The Ladies of Missalonghi, The Thorn Birds"
Colson Whitehead,"Fiction, non-fiction",1969-11-06,,"John Henry Days, The Intuitionist, The Nickel Boys, The Underground Railroad (novel), Zone One"
Colum McCann,Literary fiction,1965-02-28,Irish people,"Let the Great World Spin, TransAtlantic (novel)"
Colum McCann,Literary fiction,1965-02-28,Americans,"Let the Great World Spin, TransAtlantic (novel)"
Connie Willis,"Comedy of manners, Comic science fiction, Science fiction",1945-12-31,,"Blackout/All Clear, Doomsday Book (novel), The Last of the Winnebagos, To Say Nothing of the Dog"
Conor Kostick,"Children's literature, Fantasy, LitRPG, Science fiction",1964-06-26,,Epic (novel)
Cora Linn Daniels,", novels, occult",1852-03-17,,The Bronze Buddha: A Mystery
Cordwainer Smith,Science fiction,1913-07-11,,Scanners Live in Vain
Cormac McCarthy,"Apocalyptic and post-apocalyptic fiction, Southern gothic, Western fiction",1933-07-20,,"Blood Meridian, No Country for Old Men (novel), Suttree, The Border Trilogy, The Road"
Cornelia Funke,"Adventure, Fantasy",1958-12-10,,"Dragon Rider (novel), Inkheart series, The Thief Lord"
Cornelia Meigs,Children's fiction,1884-12-06,,Invincible Louisa
Cornelis Johannes Kieviet,Children's literature,1858-03-08,,Dik Trom
Cornelis de Bie,"Art history, Drama, Emblem book",1627-02-10,,Het Gulden Cabinet
Cory Doctorow,"Postcyberpunk, Science fiction",1971-07-17,Canadians,"Down and Out in the Magic Kingdom, Little Brother (Doctorow novel)"
Craig Hinton,Science fiction,1964-05-07,,Doctor Who
Craig Johnson (author),"Crime fiction, Detective fiction, Murder mystery, Western (genre)",1961-01-16,English,Walt Longmire
Craig Miller (writer),"Animation, Science Fiction",1954-01-23,English,Pocket Dragon Adventures
Cynthia Kadohata,"Children's literature, Young-adult literature",1956-07-02,,"Kira-Kira, Weedflower"
Cyril Hare,Crime Fiction,1900-09-04,,An English Murder
Czesław Janczarski,Children's literature,1911-09-02,,Miś Uszatek
Cécile de Brunhoff,Children's literature,1903-10-16,France,Babar the Elephant
D. Eric Maikranz,"Thriller, fantasy, conspiracy",1967-01-24,English,"Infinite (film), The Reincarnationist Papers"
D. Harlan Wilson,"Biography, Fantasy, Horror fiction, Interstitial fiction, Irrealism (the arts), Literary criticism, Literary fiction, Literary nonsense, Science fiction, Theatre of the Absurd",1971-09-03,,"Dr. Identity, Peckinpah"
Dakshinaranjan Mitra Majumder,"Folk Literature, Children's Literature",1877-04-15,India,Thakurmar Jhuli
Damon Galgut,"Drama, Fiction, Short story",1963-11-12,,"The Good Doctor (novel), The Promise (Galgut novel)"
Dan Brown,Thriller (genre),1964-06-22,,"Angels & Demons, Deception Point, Digital Fortress, Inferno (Brown novel), Origin (Dan Brown novel), The Da Vinci Code, The Lost Symbol"
Dan Simmons,"Fantasy, Horror fiction, Science fiction",1948-04-04,,"Carrion Comfort, Hyperion (Simmons novel), Song of Kali, The Terror (novel)"
Dan Wells (author),"Horror fiction, Science fiction, Young adult fiction",1977-03-04,,I Am Not a Serial Killer
Dan Wickenden,"Family life, short stories, fantasy",1913-03-24,,The Amazing Vacation
Daniel Abraham (author),"Fantasy, Horror fiction, Science fiction",1969-11-14,,"The Dagger and the Coin, The Expanse (novel series)"
Daniel Cohen (children's writer),"Young adult, non-fiction",1936-03-12,American people,"Curses, Hexes and Spells"
Daniel Gilbert (psychologist),Social psychology,1957-11-05,,Stumbling on Happiness
Daniel H. Pink,Non-fiction,1964-07-23,English,Drive: The Surprising Truth About What Motivates Us
Daniel Handler,Children's literature,1970-02-28,,"A Series of Unfortunate Events, Adverbs (novel), All the Wrong Questions, The Basic Eight, Watch Your Mouth (novel)"
Daniel Keyes,Science fiction,1927-08-09,,"Flowers for Algernon, The Minds of Billy Milligan"
Daniel M. Lavery,"Advice column, Satire, Short fiction",1986-11-28,,"Something That May Shock and Discredit You, The Toast"
Daniel Pinkwater,"Children's literature, Young adult fiction",1941-11-15,,"Alan Mendelsohn, the Boy from Mars, Borgel, The Big Orange Splot, The Hoboken Chicken Emergency, The Snarkout Boys and the Avocado of Death"
Dario Fo,Drama,1926-03-24,,"Accidental Death of an Anarchist, Archangels Don't Play Pinball, Can't Pay? Won't Pay!, Mistero Buffo, The Pope and the Witch, The Virtuous Burglar, Trumpets and Raspberries"
Darrell Schweitzer,Speculative fiction,1952-08-27,,The Mask of the Sorcerer
Darren O'Shaughnessy,"Horror, fantasy",1972-07-02,English,"The Demonata, The Saga of Darren Shan, The Thin Executioner, Zom-B"
Dav Pilkey,"Children's literature, comedy",1966-03-04,,"Captain Underpants, Dog Man, Dragon (TV series), Dumb Bunnies, Ricky Ricotta's Mighty Robot (series)"
Dave Wolverton,"Fantasy, Historical fiction, Science fiction",1957-05-28,,"Runelords, The Courtship of Princess Leia"
David A. Adler,"Children's fiction, Mystery fiction, Picture books",1947-04-10,,Cam Jansen
David A. Hargrave,"Fantasy, Role-playing game, Science fiction",1946-05-25,,Arduin
David Almond,"Children's novels, Magic realism, Speculative fiction",1951-05-15,,"Clay (novel), Kit's Wilderness, Skellig, The Fire-Eaters"
David Baldacci,"Children's literature, Thriller (genre)",1960-08-05,,Absolute Power (novel)
David Clement-Davies,Animal Fantasy Fiction,1964-01-06,,"Fire Bringer, The Sight (Clement-Davies novel)"
David D. Levine,Science-fiction,1961-02-21,,Tk'tk'tk
David Drake,"Fantasy, Science fiction",1945-09-24,English,"Hammer's Slammers, RCN Series"
David Eddings,Fantasy,1931-07-07,,"The Belgariad, The Dreamers (novel series), The Elenium, The Malloreon, The Tamuli"
David Foster Wallace,"Literary fiction, Non-fiction",1962-02-21,,Infinite Jest
David Greenberger,Non-fiction,1954-06-26,,Duplex Planet
David Hackett Fischer,History,1935-12-02,United States,"Albion's Seed, The Great Wave (book), Washington's Crossing (book)"
David Ignatius,"Espionage fiction, Suspense, Thriller (genre)",1950-05-26,,Body of Lies (novel)
David Iserson,"Comedy, Dramedy, Drama",1977-12-03,English,"Mad Men, Mr. Robot, New Girl, Saturday Night Live, Up All Night (TV series)"
David Levithan,"Fantasy, Supernatural fiction, Young adult fiction",1972-09-07,,"Boy Meets Boy (novel), Nick and Norah's Infinite Playlist, Wide Awake (novel), Will Grayson, Will Grayson"
David Macaulay,Picture books,1946-12-02,,"Black and White (picture book), Castle (book), Cathedral (children's book), The Way Things Work"
David Malouf,Libretto,1934-03-20,,"An Imaginary Life, Bicycle and Other Poems, Fly Away Peter, Johnno, Neighbours in a Thicket, Ransom (Malouf novel), Remembering Babylon, The Great World"
David Markson,experimental fiction,1927-12-20,,"The Last Novel, Wittgenstein's Mistress"
David Nobbs,Comedy,1935-03-13,,"A Bit of a Do, The Fall and Rise of Reginald Perrin"
David Pringle,"Horror fiction, Science fiction",1950-03-01,,Interzone (magazine)
David Renwick,Television,1951-09-04,,"Jonathan Creek, One Foot in the Grave"
David Small,Children's literature,1945-02-12,,Stitches (book)
David Weber,"Alternate history, Fantasy, Science fiction",1952-10-24,English,"Honor Harrington, Safehold"
David Wiesner,Children's literature,1956-02-05,American people,"Flotsam (David Wiesner book), Sector 7 (book), The Three Pigs, Tuesday (book)"
David Wood (actor),Children's literature,1944-02-21,English,The Gingerbread Man (musical)
Daína Chaviano,"Fantasy, Historical fiction, Science fiction",1957-02-19,Cuban-American,The Island of Eternal Love
Dean Koontz,"Fantasy literature, Horror fiction, Science fiction, Thriller (genre)",1945-07-09,,"Demon Seed (novel), Hideaway (novel), Intensity (novel), Lightning (novel), Odd Thomas (novel), Phantoms (novel), The Face of Fear, Watchers (novel)"
Debby Applegate,Biography,1968-02-01,,The Most Famous Man in America
Debra A. Kemp,Historical fiction,1957-03-07,English,The Firebrand (Kemp novel)
Deepak Chaurasia,Journalism,1968-12-28,,"ABP News, Aaj Tak, India news, News Nation, STAR News"
Denis Johnson,"Fiction, Nonfiction",1949-07-01,,"Angels (Denis Johnson novel), Jesus' Son (short story collection), Train Dreams, Tree of Smoke"
Dennis Potter,Drama,1935-05-17,,"Blue Remembered Hills, Lipstick On Your Collar, Pennies from Heaven (TV series), The Singing Detective"
Dennis Wheatley,Occult,1897-01-08,,The Devil Rides Out
Derek Landy,Children's literature,1974-10-23,,Skulduggery Pleasant
Derek Robinson (novelist),fiction,1932-04-12,British nationality law,"Goshawk Squadron, Piece of Cake (novel), The Eldorado Network"
Derek Walcott,Poetry and plays,1930-01-23,Saint Lucia,"Dream on Monkey Mountain, Omeros"
Deric Longden,Autobiography,1936-11-29,,Lost for Words (1999 TV film)
Dervla Murphy,Travel,1931-11-28,,"A Place Apart, Full Tilt: Ireland to India with a Bicycle"
Dhansukhlal Mehta,"Short story, novel",1890-10-20,India,Ame Badha
Diana Gabaldon,"Historical fantasy, Historical fiction, Historical mystery, Historical romance, Scientific literature, Speculative fiction",1952-01-11,,"Lord John series, Outlander (book series), Science Software Quarterly"
Diana Hart,"Autobiography, Romance novel",1963-10-08,Americans,Under the Mat: Inside Wrestling's Greatest Family
Diana Hart,"Autobiography, Romance novel",1963-10-08,Canadians,Under the Mat: Inside Wrestling's Greatest Family
Diana Lindsay,Non-fiction,1944-07-14,,Ricardo Breceda
Diana Wynne Jones,"Children's literature, Comic fantasy, Fantasy, Science fiction, Speculative fiction",1934-08-16,,"Chrestomanci, Dalemark Quartet, Howl's Moving Castle"
Diane Awerbuck,Fiction,1974-04-01,English language,"Caribbean, Commonwealth Writers' Prize, International Dublin Literary Award"
Dick King-Smith,"Children's novels, Picture books",1922-03-27,,"Magnus Powermouse, The Sheep-Pig"
Dick Sharples,Television,1927-06-07,,"Farrington of the F.O., Hallelujah! (TV series), In Loving Memory (TV series), Joan and Leslie, Three Live Wires"
Dimitris Lyacos,Cross-genre,1966-10-19,,Z213: Exit
Dino Buzzati,"Novel, Short story",1906-10-14,,The Tartar Steppe
Dino Stamatopoulos,"Satire, black comedy",1964-12-14,,"Community (TV series), High School USA!, Late Night with Conan O'Brien, Mad TV, Mary Shelley's Frankenhole, Moral Orel, Mr. Show, TV Funhouse, The Ben Stiller Show, The Drinky Crow Show"
Dmitry Glukhovsky,"Apocalyptic and post-apocalyptic fiction, Magic realism, Science fiction, Utopian and dystopian fiction",1979-06-12,,"Metro 2033 (novel), Metro 2034, Metro 2035"
Dmitry Grigorovich,"Fiction, criticism, travel writing",1822-03-31,,The Village (Grigorovich novel)
Dodie Smith,Children's literature,1896-05-03,,"I Capture the Castle, The Hundred and One Dalmatians, The Starlight Barking"
Dominic Behan,"Songwriter, singer, short story writer, novelist, playwright",1928-10-22,Irish people,"McAlpine's Fusiliers, The Patriot Game"
Don Brown (author),"Biography, Fiction, History, Military, Nonfiction, Thriller (genre)",1960-06-03,,"Black Sea Affair (novel), Call Sign Extortion 17: The Shoot-Down of SEAL Team Six, Malacca Conspiracy (novel), The Last Fighter Pilot, Treason (legal thriller)"
Donald Adamson,Romanticism,1939-03-30,British people,"Blaise Pascal, Physicist"
Donald Corley,Fantasy,1886-06-08,,The House of Lost Identity
Donald E. Westlake,Crime fiction,1933-07-12,,"John Dortmunder, Parker (Stark novels character), The Grifters (film)"
Donald Grant Mitchell,"Literary criticism, Travel literature",1822-04-12,,Reveries of a Bachelor
Donald Hamilton,"Non-fiction, Spy fiction",1916-03-24,English,Matt Helm
Donald Horne,"Non-fiction, fiction, social commentary, autobiography",1921-12-26,Australians,The Lucky Country
Donald J. Sobol,Mystery fiction,1924-10-04,,Encyclopedia Brown
Donna Leon,Crime fiction,1942-09-28,,Death at La Fenice
Donna Williams,", Autobiography, Non-fiction, Poetry",1963-10-12,,"Like Colour to the Blind, Nobody Nowhere, Somebody Somewhere (book)"
Doris Buchanan Smith,Children's literature,1934-06-01,,A Taste of Blackberries
Doris Lessing,"Biography, Libretto",1919-10-22,,"Briefing for a Descent into Hell, Children of Violence, The Golden Notebook, The Good Terrorist, The Grass Is Singing"
Dorothy Ann Thrupp,Hymns,1779-06-20,United Kingdom,"Savior, Like a Shepherd Lead us"
Dorothy Black (novelist),"Children's fiction, Romance novel",1890-03-27,English,Letters of an Indian Judge to an English Gentlewoman
Dorothy Dunnett,"Historical fiction, Mystery fiction",1923-08-25,,"Johnson Johnson, Lymond Chronicles, The House of Niccolò"
Dorothy Edwards (children's writer),Children's books,1914-11-06,,The Witches and the Grinnygog
Dorothy Richardson,Novel,1873-05-17,,Pilgrimage (novel sequence)
Douglas Preston,"Adventure (genre), Nonfiction, Techno-thriller, Thriller (genre)",1956-05-20,,"Aloysius Pendergast, The Monster of Florence: A True Story, Wyman Ford"
Duncan Barrett,"Biography, memoir",1983-01-01,,The Sugar Girls
Dòmhnall Ruadh Chorùna,"Scottish Gaelic literature, War poetry",1887-07-09,Scottish Gaelic,An Eala Bhàn
E. Cobham Brewer,Victorian era,1810-05-02,,Brewer's Dictionary of Phrase and Fable
E. E. Knight,"Fantasy literature, Science fiction",1965-03-07,,"Age of Fire, Vampire Earth"
E. L. Konigsburg,"Children's literature, Picture books",1930-02-10,,"From the Mixed-Up Files of Mrs. Basil E. Frankweiler, The View from Saturday"
E. M. Hull,Romance fiction,1880-08-16,English,The Sheik (novel)
Eckhart Tolle,"Metaphysics, Self-help, Spirituality",1948-02-16,"English, German, Spanish","A New Earth, The Power of Now"
Ed Krol,Technology,1951-08-21,,"Hitchhiker's Guide to the Internet, Whole Internet User's Guide and Catalog"
Eden Robinson,"Speculative Fiction, Gothic Fiction",1968-01-19,,Monkey Beach
Edgar Rice Burroughs,"Adventure fiction, Fantasy fiction, Lost world (genre), Planetary romance, Soft science fiction, Sword and planet, Western (genre)",1875-09-01,,"Barsoom, Tarzan (book series)"
Edgardo Vega Yunqué,"Novel, Short story",1936-05-20,Puerto Rican people,"No Matter How Much You Promise to Cook or Pay the Rent You Blew It Cauze Bill Bailey Ain't Never Coming Home Again, The Lamentable Journey of Omaha Bigelow into the Impenetrable Loisaida Jungle"
Edith Pargeter,"Czech language, Historical fiction, Mystery fiction, Nonfiction",1913-09-28,,The Cadfael Chronicles
Edmund Wilson,"Fiction, review of fiction",1895-05-08,,"Axel's Castle, Patriotic Gore, To the Finland Station"
Edna Staebler,"Creative non-fiction, Historical non-fiction, Literary criticism, Mennonite, Non-fiction",1906-01-15,Canadians,Edna Staebler Award
Eduard Limonov,"Novel, poetry, short story, autobiography, political essay",1943-02-22,,"It's Me, Eddie"
Edward Ardizzone,Children's books,1900-10-16,,Stig of the Dump
Edward Edson Lee,Young adult fiction,1884-09-02,,"Andy Blake, Jerry Todd, Poppy Ott, Trigger Berg, Tuffy Bean"
Edward Heron-Allen,"Foraminifera, Horror (fiction), Zoology",1861-12-17,English,"Baba Tahir, Rubaiyat of Omar Khayyam"
Edward Lear,"Limericks, Literary nonsense",1812-05-12,English,The Owl and the Pussycat
Edward Stratemeyer,"Adventure, mystery, science fiction",1862-10-04,,"Bobbsey Twins, Bomba, the Jungle Boy, Book series, Dave Dashaway, Don Sturdy, Nancy Drew, Rover Boys, The Colonial Series, The Dana Girls, The Hardy Boys, Tom Swift"
Eeltsje Hiddes Halbertsma,Poetry collection,1797-10-08,West Frisians,"De Alde Friezen, Rimen en Teltsjes"
Ehsan Danish,Prose,1914-02-02,British India,Jahan-i-Danish
Eiji Yoshikawa,Historical drama,1892-08-11,,Musashi (novel)
Eileen Welsome,Journalism,1951-03-12,United States,The Plutonium Files
Ekaterina Sedia,"Fantasy, Steampunk, Urban fantasy",1970-07-09,,The Alchemy of Stone
Elaine Cunningham,"Fantasy, Science fiction",1957-08-12,,"Forgotten Realms, The New Jedi Order"
Eleanor Coerr,Picture books,1922-05-29,,Sadako and the Thousand Paper Cranes
Eleanor Estes,Children's literature,1906-05-09,,"Ginger Pye, Pinky Pye, The Hundred Dresses"
Eleanor Farjeon,Children literature,1881-02-13,,Morning Has Broken
Elena Chudinova,"Novel, essay, column, poem, drama",1959-09-03,"Russian, French",The Notre Dame de Paris Mosque
Elfriede Jelinek,"List of feminist literature, Postdramatic theatre, Social criticism",1946-10-20,,"Die Kinder der Toten, Greed (Jelinek novel), Lust (Jelinek novel), The Piano Teacher (Jelinek novel)"
Eli Schechtman,"Novels, short stories",1908-09-08,,Erev
Elif Shafak,Literary fiction,1971-10-25,Turkish language,"10 Minutes 38 Seconds in This Strange World, Honour (book), The Bastard of Istanbul, The Forty Rules of Love, The Gaze (novel), Three Daughters of Eve"
Elif Shafak,Literary fiction,1971-10-25,Turkish language,"10 Minutes 38 Seconds in This Strange World, Honour (book), The Bastard of Istanbul, The Forty Rules of Love, The Gaze (novel), Three Daughters of Eve"
Elif Shafak,Literary fiction,1971-10-25,English language,"10 Minutes 38 Seconds in This Strange World, Honour (book), The Bastard of Istanbul, The Forty Rules of Love, The Gaze (novel), Three Daughters of Eve"
Elif Shafak,Literary fiction,1971-10-25,English language,"10 Minutes 38 Seconds in This Strange World, Honour (book), The Bastard of Istanbul, The Forty Rules of Love, The Gaze (novel), Three Daughters of Eve"
Elif Shafak,Literary fiction,1971-10-25,Turkish language,"10 Minutes 38 Seconds in This Strange World, Honour (book), The Bastard of Istanbul, The Forty Rules of Love, The Gaze (novel), Three Daughters of Eve"
Elif Shafak,Literary fiction,1971-10-25,English language,"10 Minutes 38 Seconds in This Strange World, Honour (book), The Bastard of Istanbul, The Forty Rules of Love, The Gaze (novel), Three Daughters of Eve"
Elif Shafak,Literary fiction,1971-10-25,English language,"10 Minutes 38 Seconds in This Strange World, Honour (book), The Bastard of Istanbul, The Forty Rules of Love, The Gaze (novel), Three Daughters of Eve"
Elif Shafak,Literary fiction,1971-10-25,Turkish language,"10 Minutes 38 Seconds in This Strange World, Honour (book), The Bastard of Istanbul, The Forty Rules of Love, The Gaze (novel), Three Daughters of Eve"
Elisabetta Dami,Children's literature,1958-01-01,,Geronimo Stilton
Eliza Calvert Hall,Short stories,1856-02-11,,Aunt Jane of Kentucky
Elizabeth Aston,Mystery fiction,1948-02-21,,Mr. Darcy's Daughters
Elizabeth Bear,Speculative fiction,1971-09-22,,Hammered (Bear novel)
Elizabeth Enright,Children's fiction,1907-09-17,,"Gone-Away Lake, Return to Gone-Away, Spiderweb for Two: A Melendy Maze, The Four-Story Mistake, The Saturdays (novel), Then There Were Five, Thimble Summer"
Elizabeth George Speare,Children's literature,1908-11-21,,"The Bronze Bow, The Witch of Blackbird Pond"
Elizabeth Goudge,"Children's literature, Romance novel",1900-04-24,,"Green Dolphin Country, The Little White Horse"
Elizabeth Kostova,"Gothic fiction, Historical fiction",1964-12-26,,The Historian
Elizabeth Strout,Literary fiction,1956-01-06,,"Abide with Me, Amy and Isabelle, Anything Is Possible (book), My Name Is Lucy Barton, Olive Kitteridge, Olive, Again, The Burgess Boys"
Elizabeth Wurtzel,Confessional writing,1967-07-31,,Prozac Nation
Elizabeth Yates (writer),Children's literature,1905-12-06,English,"Amos Fortune, Free Man"
Ellen Bass,"Nonfiction, Poetry",1947-06-16,,The Courage to Heal
Ellen Raskin,"Children's novel, Picture books",1928-03-13,,"Figgs & Phantoms, The Mysterious Disappearance of Leon (I Mean Noel), The Tattooed Potato and Other Clues, The Westing Game"
Ellen Wittlinger,Young Adult Literature,1948-10-21,,Hard Love (novel)
Elliott Chaze,"Mystery, crime",1915-11-15,,"Black Wings Has My Angel, Goodbye Goliath"
Eloise Lownsbery,Children's Literature,1888-04-16,,Out of the Flame
Elsie Singmaster,"Children's literature, Young adult fiction",1879-08-29,,Swords of Steel
Emilio Salgari,"Adventure fiction, Historical novel, Science fiction, Western fiction",1862-08-21,,"Sandokan, The Black Corsair"
Emily Brontë,", Fiction, poetry",1818-07-30,,Wuthering Heights
Emily M. Danforth,"Gay literature, Young adult fiction",1980-01-17,,The Miseducation of Cameron Post
Emma Lazarus,"poetry, prose, translations, novels, plays",1849-07-22,English,The New Colossus
Emma Smith (author),"Biography, Children's literature",1923-08-21,English,Maidens' Trip
Enid Blyton,Mystery (fiction),1897-08-11,,"Five Find-Outers, Malory Towers, Noddy (character), The Famous Five, The Secret Seven"
Eoin Colfer,"Adventure novel, Children's literature, Science fiction",1965-05-14,,Artemis Fowl series
Eric Carle,Children's picture books,1929-06-25,,"Brown Bear, Brown Bear, What Do You See?, The Grouchy Ladybug, The Very Hungry Caterpillar"
Eric Chappell,Television,1933-09-25,,"Duty Free (TV series), Fiddlers Three (TV series), Haggard (TV series), Home to Roost, Only When I Laugh (TV series), Rising Damp, Singles (TV series), The Bounder, The Squirrels (TV series)"
Eric Flint,"Alternate history, Fantasy",1947-02-06,,1632 (novel)
Eric Hobsbawm,"Western World, World history (field)",1917-06-09,,"Bandits (book), Echoes of the Marseillaise, The Age of Capital: 1848–1875, The Age of Empire: 1875–1914, The Age of Extremes, The Age of Revolution: Europe 1789–1848"
Eric Knight,Fiction,1897-04-10,English,"Lassie Come-Home, This Above All"
Eric L. Harry,Fiction,1958-12-02,English,"Arc Light (novel), Invasion (Harry novel)"
Eric Ludy,Christianity,1970-12-17,,When God Writes Your Love Story
Eric Schlosser,Non-fiction,1959-08-17,,"Command and Control: Nuclear Weapons, the Damascus Accident, and the Illusion of Safety, Fast Food Nation, Reefer Madness (2003 book)"
Eric Van Lustbader,"Fantasy, Thriller (genre)",1946-12-24,,Bourne (novel series)
Erica Jong,Primarily fiction and poetry,1942-03-26,,Fear of Flying (novel)
Erick Berry,Children's literature,1892-01-04,,"Garram the Hunter: A Boy of the Hill Tribes, Song of the Pines, The Apprentice of Florence, Winged Girl of Knossos"
Erick Wujcik,"Fantasy, science fiction",1951-01-26,,"After the Bomb (game), Amber Diceless Roleplaying Game, Ninjas and Superspies, Recon (role-playing game), Teenage Mutant Ninja Turtles & Other Strangeness"
Erin Bow,"Bildungsroman, Dystopian, Fantasy, Historical fiction, Science fiction, Speculative fiction, Young adult fiction",1972-04-01,Americans,Plain Kate
Erin E. Stead,Children's picture books,1982-12-27,,A Sick Day for Amos McGee
Erin Morgenstern,Fantasy,1978-07-08,,The Night Circus
Erle Stanley Gardner,"Detective fiction, true crime, travel writing",1889-07-17,,"Cool and Lam, Doug Selby, Perry Mason"
Ernesto Sabato,"Novel, essay",1911-06-24,Spanish,"Abaddón el exterminador, El Túnel, On Heroes and Tombs"
Esphyr Slobodkina,Children's literature,1908-09-22,,Caps for Sale
Esther David,Anthropology,1945-03-17,,Book of Rachel
Esther Forbes,Children's literature,1891-06-28,,Johnny Tremain
Eugie Foster,"Fantasy, Science fiction",1971-12-30,,"Sinner, Baker, Fabulist, Priest; Red Mask, Black Mask, Gentleman, Beast, When It Ends, He Catches Her"
Eugène Marin Labiche,Dramaturgy,1815-05-06,,The Italian Straw Hat (play)
Eva Ibbotson,"Children's literature, Historical fiction, Romance novels",1925-01-21,,"Journey to the River Sea, The Star of Kazan, Which Witch? (novel)"
Evadne Price,"Children's fiction, Modernism, Romance novel, War",1888-08-28,English,Not So Quiet: Stepdaughters of War
Evaline Ness,"Children's literature, Fashion, Young adult fiction",1911-04-24,,"Sam, Bangs and Moonshine, The Chronicles of Prydain"
Evan Hunter,"Crime fiction, Mystery fiction",1926-10-15,,87th Precinct
Evan Jones (writer),"Television drama, screenplays, poetry",1927-12-29,Jamaica,"Escape to Victory, Funeral in Berlin (film), King and Country, Modesty Blaise (1966 film), Wake in Fright"
Evan S. Connell,"Fiction, non-fiction",1924-08-17,,"Mrs. Bridge, Son of the Morning Star"
Evangeline Walton,Fantasy,1907-11-24,,"The Sword is Forged, Witch House"
Eve Forward,Fantasy,1972-01-17,,Villains by Necessity
Evelyn Underhill,"Christian mysticism, Spirituality",1875-12-06,,Mysticism (book)
Ezra Jack Keats,Children's literature,1916-03-11,American people,The Snowy Day
F. L. Lucas,Polemic,1894-12-28,,Style (book)
Faiz Ahmad Faiz,"Ghazal, Nazm",1911-02-13,British India,Subh-e-Azadi
Faiz Ahmad Faiz,"Ghazal, Nazm",1911-02-13,British India,Subh-e-Azadi
Faiz Ahmad Faiz,"Ghazal, Nazm",1911-02-13,Pakistani,Subh-e-Azadi
Faiz Ahmad Faiz,"Ghazal, Nazm",1911-02-13,Pakistani,Subh-e-Azadi
Faridah Àbíké-Íyímídé,"Science fiction, Young adult fiction",1999-10-13,,Ace of Spades (novel)
Farley Mowat,"Memoir, Non-fiction, Young adult fiction",1921-05-12,English,"Lost in the Barrens, Never Cry Wolf, Owls in the Family, People of the Deer, The Curse of the Viking Grave, The Grey Seas Under"
Fatima Besnaci-Lancou,Memories of harkis,1954-09-03,,Harkis
Fauna Hodel,Memoir,1951-08-01,,One Day She'll Darken: The Mysterious Beginnings of Fauna Hodel
Faye Kellerman,Mystery fiction,1952-07-31,English,"Peter Decker, Rina Lazarus"
Felicia Bond,Children's literature,1954-07-18,,"If You Give a Mouse a Cookie, Illustrator"
Felix Gilman,Steampunk,1974-11-11,United Kingdom,The Half-Made World
Ferenc Tóthárpád,Children's literature,1958-02-17,Hungarians,Budapest
Fernando Pessoa,"Poetry, essay, fiction",1888-06-13,Portuguese people,"Mensagem, The Book of Disquiet"
